,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,PxV,Day_Perc_Change,Trend,Rolling_14,bollinger_upper,bollinger_lower
90,TCS,EQ,2017-09-21,2493.55,2491.05,2541.0,2480.0,2525.0,2524.9,2509.94,1219370,3060544846.35,44213,843424,69.17,9,2017,3078787313.0,0.012572436887168914,Slight or No change,2483.235714285714,3410.655598032744,1555.8158305386844
91,TCS,EQ,2017-09-22,2524.9,2519.9,2526.9,2492.0,2509.0,2503.6,2508.22,1217698,3054249815.6,47174,887364,72.87,9,2017,3048628712.8,-0.00843597766248172,Slight or No change,2486.621428571428,3414.041312318458,1559.2015448243985
92,TCS,EQ,2017-09-25,2503.6,2496.55,2534.0,2492.75,2510.0,2510.75,2515.11,799779,2011528454.3,50797,499966,62.51,9,2017,2008045124.25,0.0028558875219684143,Slight or No change,2488.5071428571428,3415.927026604172,1561.087259110113
93,TCS,EQ,2017-09-26,2510.75,2510.0,2526.4,2466.0,2475.0,2474.65,2485.79,724615,1801238877.8,30740,496026,68.45,9,2017,1793168509.75,-0.01437817385243445,Slight or No change,2490.039285714286,3417.4591694613155,1562.6194019672564
94,TCS,EQ,2017-09-27,2474.65,2490.0,2512.2,2473.75,2495.1,2495.0,2495.71,1005178,2508634483.15,37197,646194,64.29,9,2017,2507919110.0,0.00822338512516918,Slight or No change,2492.5321428571433,3419.9520266041727,1565.1122591101137
95,TCS,EQ,2017-09-28,2495.0,2494.7,2514.0,2452.0,2472.75,2476.45,2480.49,2166433,5373819970.55,89294,1630581,75.27,9,2017,5365063002.849999,-0.007434869739479044,Slight or No change,2492.9500000000003,3420.36988374703,1565.5301162529706
96,TCS,EQ,2017-09-29,2476.45,2479.0,2484.0,2421.5,2437.6,2435.95,2455.42,992507,2437024636.75,60239,705264,71.06,9,2017,2417697426.65,-0.016354055199983897,Slight or No change,2491.628571428572,3419.0484551756017,1564.2086876815422
97,TCS,EQ,2017-10-03,2435.95,2440.0,2454.3,2427.05,2452.0,2448.45,2440.87,961503,2346905981.25,57917,685041,71.25,10,2017,2354192020.35,0.005131468215685775,Slight or No change,2488.7714285714287,3416.1913123184586,1561.351544824399
98,TCS,EQ,2017-10-04,2448.45,2449.6,2454.0,2425.0,2442.0,2442.3,2440.46,650389,1587250045.75,31490,469306,72.16,10,2017,1588445054.7,-0.002511793175274057,Slight or No change,2485.4214285714293,3412.841312318459,1558.0015448243996
99,TCS,EQ,2017-10-05,2442.3,2441.0,2443.45,2424.4,2430.0,2429.6,2434.97,842343,2051077540.9,21566,693866,82.37,10,2017,2046556552.8,-0.005200016378004491,Slight or No change,2481.3250000000007,3408.74488374703,1553.905116252971
100,TCS,EQ,2017-10-06,2429.6,2430.0,2455.0,2428.05,2451.0,2446.65,2443.5,694594,1697239802.7,31692,487487,70.18,10,2017,1699428410.1,0.007017616068488719,Slight or No change,2477.0821428571435,3404.502026604173,1549.6622591101138
101,TCS,EQ,2017-10-09,2446.65,2441.05,2467.95,2441.05,2449.1,2454.1,2457.72,886808,2179528945.15,30973,714603,80.58,10,2017,2176315512.8,0.003044979870435061,Slight or No change,2473.871428571429,3401.291312318459,1546.4515448243994
102,TCS,EQ,2017-10-10,2454.1,2455.0,2469.95,2451.25,2453.4,2459.25,2459.75,611005,1502919509.2,32806,477108,78.09,10,2017,1502614046.25,0.002098528992298565,Slight or No change,2471.0857142857144,3398.5055980327443,1543.6658305386848
103,TCS,EQ,2017-10-11,2459.25,2460.0,2514.45,2456.75,2500.0,2500.35,2494.35,763873,1905365312.25,39551,473024,61.92,10,2017,1909949855.55,0.01671241232082954,Slight or No change,2471.5714285714284,3398.991312318458,1544.1515448243988
104,TCS,EQ,2017-10-12,2500.35,2513.0,2555.0,2507.0,2546.9,2548.2,2529.48,2503178,6331734420.6,55773,1654922,66.11,10,2017,6378598179.599999,0.01913732077509156,Slight or No change,2473.235714285714,3400.655598032744,1545.8158305386844
105,TCS,EQ,2017-10-13,2548.2,2548.2,2608.95,2523.0,2559.75,2558.6,2562.16,2033160,5209287767.45,83968,623802,30.68,10,2017,5202043176.0,0.004081312298877649,Slight or No change,2477.1642857142856,3404.5841694613155,1549.744401967256
